"year","name","tot","n.all","n.used","hi","lo","sd","board.rk"
2010,"Aubrey Coleman",234,8,8,34,93,22.5447966755714,62
2010,"Mac Koshwal",224,7,7,48,77,9.39604780137448,64
2010,"Ben Uzoh",220,7,7,53,87,13.3541504160068,65
2010,"Jon Scheyer",215,7,7,55,83,9.84402163268458,67
2010,"A.J. Ogilvy",212,7,7,54,81,8.37513326119992,68
2010,"Samardo Samuels",211,7,7,51,86,12.697956341006,69
2010,"Vladimir Dasic",199,7,7,48,98,15.9373774505092,71
2010,"Marqus Blakely",184,7,7,29,89,19.4887024660321,72
2010,"Tyler Smith",175,7,7,45,92,15.0427960926722,75
2010,"Jerome Dyson",168,6,6,50,88,16.2972390299707,77
2010,"Thomas Heurtel",137,5,4,57,102,17.4556581084759,78
2010,"Scottie Reynolds",132,6,6,42,100,20.3960780543711,79
2010,"Omar Samhan",130,6,6,63,95,10.5388171379271,80
2010,"Edwin Ubiles",109,6,6,61,100,14.3166569654604,82
2010,"Marquis Gilstrap",106,6,6,56,96,14.7873820085459,83
2010,"Deon Thompson",101,6,6,79,95,6.70571895225759,84
2010,"Tyren Johnson",100,4,4,64,85,8.75595035770913,85
2010,"Ryan Thompson",95,5,5,70,93,10.5356537528527,86
2010,"Elijah Millsap",94,5,5,69,99,13.0843417870369,87
2010,"Denis Clemente",88,4,3,55,112,25.656383221335,88
2010,"Ludovic Vaty",74,4,4,72,93,10.5356537528527,91
2010,"Stefan Markovic",67,5,4,75,104,12.9305839001957,93
2010,"Michael Washington",65,4,4,67,98,13.3260396717604,94
2010,"Wayne Chism",64,4,4,80,89,4.24264068711928,95
2010,"Raymar Morgan",62,5,5,81,97,6.54217089351845,96
2010,"A.J. Slaughter",60,3,3,76,84,4.35889894354067,97
2010,"Devan Downey",57,4,4,63,100,16.3579746097533,98
2010,"Kevin Palmer",49,4,3,73,101,11.9547758936195,99
2010,"Patrick Christopher",47,5,3,66,108,16.8433963320941,100
2010,"Landon Milbourne",42,2,1,59,109,35.3553390593274,101
2010,"Jeremy Wise",41,4,4,82,97,7.08872343937891,102
2010,"Tim Ohlbrecht",39,2,2,80,83,2.12132034355964,103
2010,"Jeremy Lin",34,5,4,89,102,4.82700735445887,104
2010,"Jared Quayle",34,1,1,67,67,,104
2010,"Ryan Wittman",32,3,3,79,98,10.0166528008778,106
2010,"Artem Zabelin",27,2,2,76,99,16.2634559672906,107
2010,"DeShawn Sims",25,5,4,86,109,8.17312669668102,108
2010,"J.P. Prince",25,2,1,76,108,22.6274169979695,108
2010,"Tommy Mason-Griffin",24,4,2,82,105,10.4083299973307,110
2010,"Theo Robertson",24,2,1,77,110,23.3345237791561,110
2010,"Alex Franklin",22,1,1,79,79,,112
2010,"Tasmin Mitchell",21,3,2,90,111,11.8462370959446,114
2010,"Ish Smith",20,4,2,86,115,12.5266382827424,115
2010,"Courtney Fortson",20,3,2,86,103,8.54400374531753,115
2010,"Marko Keselj",19,3,2,85,104,9.71253485622231,117
2010,"Gavin Edwards",17,4,3,88,107,7.84750491132904,118
2010,"Jermaine Beal",16,2,1,85,103,12.7279220613579,120
2010,"Deonta Vaughn",13,1,1,88,88,,121
2010,"Robert Glenn",12,1,1,89,89,,123
2010,"Boban Marjanovic",11,4,3,95,101,2.75378527364305,124
2010,"Pietro Aradori",10,1,1,91,91,,125
2010,"Marcus Johnson",7,1,1,94,94,,126
2010,"Armon Bassett",6,1,1,95,95,,127
2010,"Dominique Archie",5,1,1,96,96,,128
2010,"Donald Sloan",3,2,1,98,114,11.3137084989848,129
2010,"Arinze Onuaku",2,2,1,99,105,4.24264068711928,131
2010,"Lucas Alves",2,1,1,99,99,,131
2010,"Jahmar Young",0,1,0,107,107,,133
2010,"Jeff Foote",0,1,0,106,106,,133
2010,"Nic Wise",0,1,0,106,106,,133
2010,"Patrick Sullivan",0,1,0,110,110,,133
2010,"Stephen Dennis",0,1,0,111,111,,133
2011,"Jereme Richmond",280,5,5,26,58,13.6747943311773,47
2011,"David Lighty",241,6,6,35,64,10.8335897405554,49
2011,"Demetri McCamey",237,6,6,48,74,9.84716541278081,50
2011,"Rick Jackson",219,6,6,47,65,6.21020665249287,53
2011,"Ben Hansbrough",214,6,6,34,85,16.776968339562,54
2011,"Brad Wanamaker",212,5,5,41,75,14.0996453856117,55
2011,"Jamine Peterson",209,5,5,44,69,10.1341008481266,56
2011,"Malcolm Thomas",205,5,5,51,78,10.5593560409714,57
2011,"Giorgi Shermadini",200,4,4,41,64,9.76387901058454,58
2011,"Michael Dunigan",196,5,5,34,87,23.177575369309,60
2011,"Greg Smith",195,5,5,46,98,21.0594396886527,61
2011,"Matthew Bryan-Amaning",191,5,5,47,79,14.1844985811977,62
2011,"Scotty Hopson",158,5,5,50,96,18.036074961033,64
2011,"Xavi Rabaseda",158,4,4,49,71,9.1469484893415,64
2011,"Damian Saunders",157,4,4,42,70,13.2759180473518,66
2011,"Justin Holiday",149,4,4,57,80,10.9048918686371,68
