"year","title","title.id","genre","rating","votes","dir.sum","gender","old.name","old.id","old.by","old.age","young.name","young.id","young.by","young.age","diff"
2013,"Kill Your Darlings","tt1311071","Biography, Drama, Romance",6.5,33033,"John Krokidas [nm1045865]","M","Michael C. Hall","nm0355910",1971,42,"Dane DeHaan","nm2851530",1986,27,15
2011,"Weekend","tt1714210","Drama, Romance",7.6,25800,"Andrew Haigh [nm0354091]","M","Chris New","nm2773325",1981,30,"Tom Cullen","nm3665787",1985,26,4
2007,"Shelter","tt0942384","Drama, Romance, Sport",7.7,19683,"Jonah Markowitz [nm0995691]","M","Brad Rowe","nm0005388",1970,37,"Trevor Wright","nm0942901",1980,27,10
2017,"God's Own Country","tt5635086","Drama, Romance",7.7,18908,"Francis Lee [nm0497274]","M","Alec Secareanu","nm2649764",1984,33,"Josh O'Connor","nm4853066",1990,27,6
2003,"Latter Days","tt0345551","Comedy, Drama, Romance",7,16252,"C. Jay Cox [nm0184947]","M","Wes Ramsey","nm0709095",1977,26,"Steve Sandvoss","nm1302182",1980,23,3
1987,"Maurice","tt0093512","Drama, Romance",7.7,14380,"James Ivory [nm0412465]","M","James Wilby","nm0928134",1958,29,"Hugh Grant","nm0000424",1960,27,2
1997,"Wilde","tt0120514","Biography, Drama, Romance",6.9,13906,"Brian Gilbert [nm0317981]","M","Stephen Fry","nm0000410",1957,40,"Jude Law","nm0000179",1972,25,15
2004,"A Home at the End of the World","tt0359423","Drama, Romance",6.7,12867,"Michael Mayer [nm1555287]","M","Dallas Roberts","nm1316767",1970,34,"Colin Farrell","nm0268199",1976,28,6
1998,"Get Real","tt0162973","Comedy, Drama, Romance",7.5,11885,"Simon Shore [nm0794960]","M","Brad Gorton","nm0331379",1974,24,"Ben Silverstone","nm0799066",1979,19,5
2014,"Love Is Strange","tt2639344","Drama, Romance",6.7,11576,"Ira Sachs [nm0755158]","M","John Lithgow","nm0001475",1945,69,"Alfred Molina","nm0000547",1953,61,8
2015,"Holding the Man","tt3671542","Biography, Drama, Romance",7.4,8948,"Neil Armfield [nm0035462]","M","Ryan Corr","nm1507708",1989,26,"Craig Matthew Stott","nm2412545",1990,25,1
2008,"Little Ashes","tt1104083","Biography, Drama, Romance",6.5,8294,"Paul Morrison [nm0607422]","M","Javier BeltrÃ¡n","nm2779214",1983,25,"Robert Pattinson","nm1500155",1986,22,3
1993,"M. Butterfly","tt0107468","Drama, Romance",6.8,7996,"David Cronenberg [nm0000343]","M","Jeremy Irons","nm0000460",1948,45,"John Lone","nm0518821",1952,41,4
1999,"Trick","tt0162710","Comedy, Music, Romance",7.1,7838,"Jim Fall [nm0266302]","M","Christian Campbell","nm0132301",1972,27,"John Paul Pitoc","nm0685755",1974,25,2
1997,"Bent","tt0118698","Drama, History, Romance",7.2,7297,"Sean Mathias [nm0558773]","M","Lothaire Bluteau","nm0089937",1957,40,"Clive Owen","nm0654110",1964,33,7
1988,"Torch Song Trilogy","tt0096289","Comedy, Drama, Romance",7.7,6359,"Paul Bogart [nm0091575]","M","Harvey Fierstein","nm0001213",1954,34,"Matthew Broderick","nm0000111",1962,26,8
2003,"Mambo Italiano","tt0330602","Comedy, Drama, Romance",6.7,6104,"Ãâ°mile Gaudreault [nm0309996]","M","Peter Miller","nm1022527",1969,34,"Luke Kirby","nm0456186",1978,25,9
2001,"All Over the Guy","tt0250202","Comedy, Romance",6.5,4341,"Julie Davis [nm0006874]","M","Dan Bucatinsky","nm0117857",1965,36,"Richard Ruccolo","nm0748483",1972,29,7
2015,"I Am Michael","tt3713030","Biography, Drama, Romance",5.6,4323,"Justin Kelly [nm0446539]","M","Zachary Quinto","nm0704270",1977,38,"James Franco","nm0290556",1978,37,1
2004,"Touch of Pink","tt0374277","Drama, Comedy, Romance",6.5,3901,"Ian Iqbal Rashid [nm0711149]","M","Jimi Mistry","nm0592993",1973,31,"Kris Holden-Ried","nm0390285",1973,31,0
2000,"Big Eden","tt0212815","Comedy, Drama, Romance",7.3,3836,"Thomas Bezucha [nm0080120]","M","Arye Gross","nm0343325",1960,40,"Eric Schweig","nm0777760",1967,33,7
2002,"The Trip","tt0250067","Comedy, Drama, Romance",7.1,3570,"Miles Swain [nm0841504]","M","Larry Sullivan","nm0837942",1970,32,"Steve Braun","nm0105853",1976,26,6
2012,"My Brother the Devil","tt2076897","Crime, Drama, Romance",6.5,2901,"Sally El Hosaini [nm2260751]","M","SaÃ¯d Taghmaoui","nm0846548",1973,39,"James Krishna Floyd","nm2353331",1987,25,14
2005,"Adam & Steve","tt0372122","Comedy, Drama, Music",5.9,2869,"Craig Chester [nm0156314]","M","Malcolm Gets","nm0315236",1964,41,"Craig Chester","nm0156314",1965,40,1
2007,"Breakfast with Scot","tt0910847","Comedy, Drama, Music",6.8,2832,"Laurie Lynd [nm0528508]","M","Tom Cavanagh","nm0146915",1963,44,"Ben Shenkman","nm0791570",1968,39,5
2008,"Mulligans","tt1106447","Drama, Romance",6.3,2587,"Chip Hale [nm2559612]","M","Dan Payne","nm1026161",1972,36,"Charlie David","nm1263747",1980,28,8
1986,"Parting Glances","tt0091725","Drama, Music, Romance",7.2,2556,"Bill Sherwood [nm0792795]","M","John Bolger","nm0092947",1954,32,"Richard Ganoung","nm0304514",1958,28,4
2000,"The Journey of Jared Price","tt0280791","Drama, Romance",6.2,1984,"Dustin Lance Black [nm0085257]","M","Steve Tyler","nm0878908",1962,38,"Corey Spears","nm0817346",1975,25,13
2006,"East Side Story","tt0437171","Comedy, Romance",6.6,1518,"Carlos Portugal [nm0692530]","M","Steve Callahan","nm1206539",1967,39,"RenÃ© Alvarado","nm1794258",1979,27,12
2017,"A Moment in the Reeds","tt6256872","Drama, Romance",7,1220,"Mikko Makela [nm4993771]","M","Boodi Kabbani","nm8589660",1989,28,"Janne Puustinen","nm8589659",1990,27,1
2004,"Straight-Jacket","tt0367097","Comedy, Romance",6.6,758,"Richard Day [nm0206556]","M","Matt Letscher","nm0504762",1970,34,"Adam Greer","nm1377079",1975,29,5
1969,"Staircase","tt0065031","Comedy, Drama, Romance",5.4,701,"Stanley Donen [nm0002045]","M","Rex Harrison","nm0001322",1908,61,"Richard Burton","nm0000009",1925,44,17
1968,"The Sergeant","tt0063585","Drama, Romance",6.4,444,"John Flynn [nm0283500]","M","Rod Steiger","nm0001768",1925,43,"John Phillip Law","nm0492342",1937,31,12
2012,"The Comedian","tt1656194","Drama, Romance",5.5,328,"Tom Shkolnik [nm2561244]","M","Edward Hogg","nm1296102",1979,33,"Nathan Stewart-Jarrett","nm2805533",1985,27,6
2011,"Finding Mr. Wright","tt1619281","Comedy, Romance",4.6,238,"Nancy Criss [nm0188027]","M","Matthew Montgomery","nm1343042",1978,33,"David Shae","nm1869788",1981,30,3
