"id","Player","start","end","seasons","G","WS","All.NBA.tot","All NBA-1","All NBA-2","All NBA-3","AS NBA","bs.rk","slam.rk","missed","First","Quarters","Semis","Finals","Champ","closest.series.cnt","games.away.min","closest.lab","simp.lab"
"collida01","Darren Collison",2010,2019,10,708,49.8,0,0,0,0,0,,,5,3,2,0,0,0,2,2,"2012: Miami Heat (4) - Indiana Pacers (2) / 2014: Oklahoma City Thunder (4) - Los Angeles Clippers (2)","2012: Miami Heat / 2014: Oklahoma City Thunder"
"collido01","Doug Collins",1974,1981,8,415,38,0,0,0,0,4,,191,5,1,0,1,1,0,1,2,"1977: Portland Trail Blazers (4) - Philadelphia 76ers (2)","1977: Portland Trail Blazers"
"collido02","Don Collins",1981,1987,6,303,10.4,0,0,0,0,0,,,4,1,1,0,0,0,1,3,"1982: Boston Celtics (4) - Washington Bullets (1)","1982: Boston Celtics"
"collija01","James Collins",1998,1998,1,23,0,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"collija02","Jason Collier",2001,2005,5,151,1.9,0,0,0,0,0,,,5,0,0,0,0,0,,,,
"collija03","Jarron Collins",2002,2011,10,542,15.7,0,0,0,0,0,,,5,2,1,2,0,0,1,2,"2010: Los Angeles Lakers (4) - Phoenix Suns (2)","2010: Los Angeles Lakers"
"collija04","Jason Collins",2002,2014,13,735,20.2,0,0,0,0,0,,,4,2,5,0,2,0,1,2,"2003: San Antonio Spurs (4) - New Jersey Nets (2)","2003: San Antonio Spurs"
"colliji01","Jimmy Collins",1971,1972,2,74,0.5,0,0,0,0,0,,,1,0,1,0,0,0,1,1,"1971: Los Angeles Lakers (4) - Chicago Bulls (3)","1971: Los Angeles Lakers"
"collijo01","John Collins",2018,2019,2,135,11.4,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"colliky01","Kyle Collinsworth",2018,2018,1,32,0.5,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"collima01","Mardy Collins",2007,2010,4,189,-1.6,0,0,0,0,0,,,4,0,0,0,0,0,,,,
"collini01","Nick Collison",2005,2018,14,910,44.4,0,0,0,0,0,,,7,1,2,3,1,0,1,3,"2012: Miami Heat (4) - Oklahoma City Thunder (1)","2012: Miami Heat"
"collish01","Sherron Collins",2011,2011,1,20,-0.2,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"colliza01","Zach Collins",2018,2019,2,143,3.5,0,0,0,0,0,,,0,1,0,1,0,0,1,4,"2019: Golden State Warriors (4) - Portland Trail Blazers (0)","2019: Golden State Warriors"
"colonjo01","Joe Colone",1949,1949,1,15,0.1,0,0,0,0,0,,,0,0,0,1,0,0,1,1,"1949: Washington Capitols (2) - New York Knicks (1)","1949: Washington Capitols"
"colsobo01","Bonzie Colson",2019,2019,1,8,0.2,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"colsose01","Sean Colson",2001,2001,1,13,-0.1,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"coltest01","Steve Colter",1985,1995,8,526,17.4,0,0,0,0,0,,,3,4,1,0,0,0,1,3,"1985: Los Angeles Lakers (4) - Portland Trail Blazers (1)","1985: Los Angeles Lakers"
"combsle01","Leroy Combs",1984,1984,1,48,0.4,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"comegda01","Dallas Comegys",1988,1989,2,142,1.1,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"comlela01","Larry Comley",1964,1964,1,12,-0.3,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"conlege01","Gene Conley",1953,1964,6,351,5.2,0,0,0,0,0,,,3,0,0,0,0,3,,,,
"conlemi01","Mike Conley",2008,2019,12,788,71.4,0,0,0,0,0,,,6,3,2,1,0,0,1,4,"2013: San Antonio Spurs (4) - Memphis Grizzlies (0)","2013: San Antonio Spurs"
"conlied01","Ed Conlin",1956,1962,7,486,14.1,0,0,0,0,0,,,0,0,4,3,0,0,2,1,"1956: Philadelphia Warriors (3) - Syracuse Nationals (2) / 1962: Boston Celtics (4) - Philadelphia Warriors (3)","1956: Philadelphia Warriors / 1962: Boston Celtics"
"conloma01","Marty Conlon",1992,2000,9,379,8.9,0,0,0,0,0,,,7,1,1,0,0,0,1,3,"1992: Utah Jazz (4) - Seattle SuperSonics (1)","1992: Utah Jazz"
