"state","GEOID","NAME","type","c2010","c2000","c1990","c1980","c1970","c1960","c1950","c1940","c1930","c1920","c1910","c1900","c1890","c1880","c1870","c1860","c1850","c1840","c1830","c1820","c1810","c1800","c1790","simp.name"
"CA","34900","Napa, CA","Metropolitan Statistical Area",136484,124279,110765,99199,79140,65890,46603,28503,22897,20678,19800,16451,16411,13235,7163,5521,405,0,0,0,0,0,0,"Napa, CA"
"CA","37100","Oxnard-Thousand Oaks-Ventura, CA","Metropolitan Statistical Area",823318,753197,669016,529174,376430,199138,114647,69685,54976,28724,18347,14367,10071,5073,0,0,0,0,0,0,0,0,0,"Oxnard, CA"
"CA","39780","Red Bluff, CA","Micropolitan Statistical Area",63463,56039,49625,38888,29517,25305,19276,14316,13866,12882,11401,10996,9916,9301,3587,4044,0,0,0,0,0,0,0,"Red Bluff, CA"
"CA","39820","Redding, CA","Metropolitan Statistical Area",177223,163256,147036,115715,77640,59468,36413,28800,13927,13361,18920,17318,12133,9492,4173,4360,378,0,0,0,0,0,0,"Redding, CA"
"CA","40140","Riverside-San Bernardino-Ontario, CA","Metropolitan Statistical Area",4224851,3254821,2588793,1558182,1143146,809782,451688,266632,214924,123698,91402,45826,25497,7786,3988,5551,0,0,0,0,0,0,0,"Riverside, CA"
"CA","40900","Sacramento-Roseville-Folsom, CA","Metropolitan Statistical Area",2149127,1796857,1481102,1099814,844425,654893,375636,238913,198436,133144,107461,84305,77356,71077,58395,62690,30230,0,0,0,0,0,0,"Sacramento, CA"
"CA","41500","Salinas, CA","Metropolitan Statistical Area",415057,401762,355660,290444,250071,198351,130498,73032,53705,27980,24146,19380,18637,11302,9876,4739,1872,0,0,0,0,0,0,"Salinas, CA"
"CA","41740","San Diego-Chula Vista-Carlsbad, CA","Metropolitan Statistical Area",3095313,2813833,2498016,1861846,1357854,1033011,556808,289348,209659,112248,61665,35090,34987,8618,4951,4324,798,0,0,0,0,0,0,"San Diego, CA"
"CA","41860","San Francisco-Oakland-Berkeley, CA","Metropolitan Statistical Area",4335391,4123740,3686592,3250630,3109519,2648762,2135934,1412686,1306938,968865,746416,518821,429535,329453,195709,77605,323,0,0,0,0,0,0,"San Francisco, CA"
"CA","41940","San Jose-Sunnyvale-Santa Clara, CA","Metropolitan Statistical Area",1836911,1735819,1534274,1320076,1082940,657711,304917,186341,156429,109671,91580,66849,54417,40623,26246,11912,0,0,0,0,0,0,0,"San Jose, CA"
"CA","42020","San Luis Obispo-Paso Robles, CA","Metropolitan Statistical Area",269637,246681,217162,155435,105690,81044,51417,33246,29613,21893,19383,16637,16072,9142,4772,1782,336,0,0,0,0,0,0,"San Luis Obispo, CA"
"CA","42100","Santa Cruz-Watsonville, CA","Metropolitan Statistical Area",262382,255602,229734,188141,123790,84219,66534,45057,37433,26269,26140,21512,19270,12802,8743,4944,643,0,0,0,0,0,0,"Santa Cruz, CA"
"CA","42200","Santa Maria-Santa Barbara, CA","Metropolitan Statistical Area",423895,399347,369608,298694,264324,168962,98220,70555,65167,41097,27738,18934,15754,9513,7784,3543,1185,0,0,0,0,0,0,"Santa Maria, CA"
"CA","42220","Santa Rosa-Petaluma, CA","Metropolitan Statistical Area",483878,458614,388222,299681,204885,147375,103405,69052,62222,52090,48394,38480,32721,25926,19819,11867,560,0,0,0,0,0,0,"Santa Rosa, CA"
"CA","43760","Sonora, CA","Micropolitan Statistical Area",55365,54501,48456,33928,22169,14404,12584,10887,9271,7768,9979,11166,6082,7848,8150,16229,8351,0,0,0,0,0,0,"Sonora, CA"
"CA","44700","Stockton, CA","Metropolitan Statistical Area",685306,563598,480628,347342,290208,249989,200750,134207,102940,79905,50731,35452,28629,24349,21050,9435,3647,0,0,0,0,0,0,"Stockton, CA"
"CA","45000","Susanville, CA","Micropolitan Statistical Area",34895,33828,27598,21661,14960,13597,18474,14479,12589,8507,4802,4511,4239,3340,1327,0,0,0,0,0,0,0,0,"Susanville, CA"
"CA","46020","Truckee-Grass Valley, CA","Micropolitan Statistical Area",98764,92033,78510,51645,26346,20911,19888,19283,10596,10850,14955,17789,17369,20823,19134,16446,0,0,0,0,0,0,0,"Truckee, CA"
"CA","46380","Ukiah, CA","Micropolitan Statistical Area",87841,86265,80345,66738,51101,51059,40854,27864,23505,24116,23929,20465,17612,12800,7545,3967,55,0,0,0,0,0,0,"Ukiah, CA"
"CA","46700","Vallejo, CA","Metropolitan Statistical Area",413344,394542,340421,235203,169941,134597,104833,49118,40834,40602,27559,24143,20946,18475,16871,7169,580,0,0,0,0,0,0,"Vallejo, CA"
"CA","47300","Visalia, CA","Metropolitan Statistical Area",442179,368021,311921,245738,188322,168403,149264,107152,77442,59031,35440,18375,24574,11281,4533,4638,0,0,0,0,0,0,0,"Visalia, CA"
"CA","49700","Yuba City, CA","Metropolitan Statistical Area",166892,139149,122643,101979,86671,67239,50659,35714,25949,20490,16370,14506,15105,16443,15881,17058,13117,0,0,0,0,0,0,"Yuba City, CA"
"CO","14500","Boulder, CO","Metropolitan Statistical Area",294567,291288,225339,189625,131889,74254,48296,37438,32456,31861,30330,21544,14082,9723,1939,0,0,0,0,0,0,0,0,"Boulder, CO"
"CO","14720","Breckenridge, CO","Micropolitan Statistical Area",27994,23548,12881,8848,2665,2073,1135,1754,987,1724,2003,2744,1906,5459,258,0,0,0,0,0,0,0,0,"Breckenridge, CO"
"CO","15860","Cañon City, CO","Micropolitan Statistical Area",46824,46145,32273,28676,21942,20196,18366,19742,18896,17883,18181,15636,9156,4735,1064,0,0,0,0,0,0,0,0,"Cañon City, CO"
"CO","17820","Colorado Springs, CO","Metropolitan Statistical Area",645613,537484,409482,317458,239288,146237,77277,60488,53711,50723,57672,60604,21239,7949,987,0,0,0,0,0,0,0,0,"Colorado Springs, CO"
"CO","18780","Craig, CO","Micropolitan Statistical Area",13795,13184,11357,13133,6525,7061,5946,5086,4861,5129,0,0,0,0,0,0,0,0,0,0,0,0,0,"Craig, CO"
"CO","19740","Denver-Aurora-Lakewood, CO","Metropolitan Statistical Area",2543482,2157756,1650489,1450768,1116226,868953,577825,425405,368060,315816,266914,185314,162046,67924,18140,0,0,0,0,0,0,0,0,"Denver, CO"
"CO","20420","Durango, CO","Micropolitan Statistical Area",51334,43941,32284,27424,19199,19225,14880,15494,12975,11218,10812,7016,5509,1110,0,0,0,0,0,0,0,0,0,"Durango, CO"
"CO","20780","Edwards, CO","Micropolitan Statistical Area",52197,41659,21928,13320,7498,4677,4488,5361,3924,3385,2985,3008,3725,0,0,0,0,0,0,0,0,0,0,"Edwards, CO"
"CO","22660","Fort Collins, CO","Metropolitan Statistical Area",299630,251494,186136,149184,89900,53343,43554,35539,33137,27872,25270,12168,9712,4892,838,0,0,0,0,0,0,0,0,"Fort Collins, CO"
"CO","22820","Fort Morgan, CO","Micropolitan Statistical Area",28159,27171,21939,22513,20105,21192,18074,17214,18284,16124,9577,3268,1601,0,0,0,0,0,0,0,0,0,0,"Fort Morgan, CO"
"CO","24060","Glenwood Springs, CO","Micropolitan Statistical Area",73537,58663,42635,32852,21006,14398,13271,12396,11745,12011,14710,12855,13407,0,0,0,0,0,0,0,0,0,0,"Glenwood Springs, CO"
"CO","24300","Grand Junction, CO","Metropolitan Statistical Area",146723,116255,93145,81530,54374,50715,38974,33791,25908,22281,22197,9267,4260,0,0,0,0,0,0,0,0,0,0,"Grand Junction, CO"
"CO","24540","Greeley, CO","Metropolitan Statistical Area",252825,180936,131821,123438,89297,72344,67504,63747,65097,54059,39177,16808,11736,5646,1636,0,0,0,0,0,0,0,0,"Greeley, CO"
"CO","33940","Montrose, CO","Micropolitan Statistical Area",45712,37174,26718,26277,19912,19887,17323,17507,13526,14472,13805,9266,10490,2669,0,0,0,0,0,0,0,0,0,"Montrose, CO"
"CO","39380","Pueblo, CO","Metropolitan Statistical Area",159063,141472,123051,125972,118238,118707,90188,68870,66038,57638,52223,34448,31491,7617,2265,0,0,0,0,0,0,0,0,"Pueblo, CO"
"CO","44460","Steamboat Springs, CO","Micropolitan Statistical Area",23509,19690,14088,13404,6592,5900,8940,10525,9352,8948,7561,3661,2369,140,0,0,0,0,0,0,0,0,0,"Steamboat Springs, CO"
"CO","44540","Sterling, CO","Micropolitan Statistical Area",22709,20504,17567,19800,18852,20302,17187,18370,19946,18427,9549,3292,3070,0,0,0,0,0,0,0,0,0,0,"Sterling, CO"
"CT","14860","Bridgeport-Stamford-Norwalk, CT","Metropolitan Statistical Area",916829,882567,827645,807143,792814,653589,504342,418384,386702,320936,245322,184203,150081,112042,95276,77476,59775,49917,47010,42739,40950,38208,36250,"Bridgeport, CT"
