"sport","year","teams","non_na","mean_season","med_season","sd_season"
"epl",2006,20,20,4.2488437914007,2.85869565217391,4.1103413405664
"epl",2007,20,20,4.47944869324341,3,4.48200838904011
"epl",2008,20,20,3.65199777188968,1.94565217391305,4.90496571949254
"epl",2009,20,20,3.65042153438516,1.68421052631579,5.20176087296955
"epl",2010,20,20,4.16416506082139,2.18421052631579,5.43439496409504
"epl",2011,20,20,4.06603185595568,2,5.83267872168867
"epl",2012,20,20,4.42836324220161,2.26315789473684,6.07198267904258
"epl",2013,20,20,4.38282699024449,1.80371552450921,6.52199025370594
"epl",2014,20,20,2.2476619896423,1.09210526315789,3.73775140768951
"epl",2015,20,20,2.768409008792,2,3.89603866457296
"epl",2016,20,20,2.56022521980007,1.47368421052632,4.15469075217246
"epl",2017,20,20,2.81627574370709,1.18628808864266,4.43230606156588
"epl",2018,20,20,3.18285860532338,2,4.6535156577363
"epl",2019,20,20,2.56434270745514,1.94736842105263,1.89726697324786
"epl",2020,20,20,2.57963687823678,1.67219679633868,2.14946717003964
"epl",2021,20,20,2.90696736119475,2.4078947368421,1.88920362191499
"epl",2022,20,20,2.60361616283271,2.12326869806094,2.08185254701222
"epl",2023,20,20,2.28161959532699,1.48545706371191,2.09290875512522
"mlb",1901,16,16,1,1,0
"mlb",1902,16,16,1.3844911418469,1,0.58121513002248
"mlb",1903,16,16,1.99323792016807,2,0.800579596298723
"mlb",1904,16,16,2.47381388441208,2.73161764705883,1.22429403395553
"mlb",1905,16,16,2.72292527081008,2.5,1.71239602863777
"mlb",1906,16,16,2.98891745920131,2.36688311688312,1.74312565735018
"mlb",1907,16,16,3.25340124794709,2.65446481622952,2.18845180598905
"mlb",1908,16,16,3.68839529168435,3,2.43740073589236
"mlb",1909,16,16,3.57461467516795,3,3.0938807974407
"mlb",1910,16,16,3.2520216991651,1.49697424691555,3.35755405249669
"mlb",1911,16,16,3.94206353822495,2,3.58914069725575
"mlb",1912,16,16,4.10089934300797,2,4.18761194498287
"mlb",1913,16,16,4.06942343240029,1.71448876639188,4.49411694563418
"mlb",1914,16,16,4.55180787707645,2.09150326797385,4.79303439563717
"mlb",1915,16,16,4.75646100949613,2.26928104575163,5.21450946303592
"mlb",1916,16,16,4.52016556343039,2.5,4.74043944545802
"mlb",1917,16,16,5.09999524539771,3,5.02484284789798
"mlb",1918,16,16,5.38748973041704,3.9078947368421,5.45776306946519
"mlb",1919,16,16,5.48038600282111,2.61331768389878,5.99750981006073
"mlb",1920,16,16,6.18383329682149,3,6.2006897802064
"mlb",1921,16,16,4.49643780281894,2.21942446043166,6.42298120151262
"mlb",1922,16,16,5.31662485714156,2.71942446043166,6.52731968111224
"mlb",1923,16,16,5.92097536665796,3.71942446043166,6.7926988582114
"mlb",1924,16,16,5.43426130791193,2.97523554876496,6.50522214014601
"mlb",1925,16,16,6.0357443443026,2.55841770259302,6.83555753500456
"mlb",1926,16,16,7.11937517830816,3.5,7.62215353772673
"mlb",1927,16,16,5.79100820995717,1.5,7.89426408902893
"mlb",1928,16,16,6.5884681217526,2,8.86316265603039
"mlb",1929,16,16,6.90434760135501,2.59481396044257,9.17238513689323
"mlb",1930,16,16,6.11488608329369,1.61437908496732,9.72694645195414
"mlb",1931,16,16,6.68866538840417,2.11766855865153,9.91369003046509
"mlb",1932,16,16,4.82436227218523,3,7.50226897900014
"mlb",1933,16,16,4.40588156119626,2.11635454585325,7.74927960085262
"mlb",1934,16,16,3.82915548430695,1.37479980954854,8.13555114739288
"mlb",1935,16,16,4.52181362906347,2,8.24660533445248
"mlb",1936,16,16,5.40035374749515,3,8.29730048943092
"mlb",1937,16,16,5.45371529153312,3.78065789473684,6.56401654522454
"mlb",1938,16,16,5.74072814074456,4,8.80053301783575
"mlb",1939,16,16,4.23120039269746,2,4.06003186303122
"mlb",1940,16,16,6.19523652466308,3,9.21595350752402
"mlb",1941,16,16,6.73207708397189,4,9.46280989362043
"mlb",1942,16,16,6.84524962571586,4.5,9.71568705131112
"mlb",1943,16,16,6.81994865925715,3.8562091503268,10.0610911182658
"mlb",1944,16,16,7.39303461436697,4.21335200746966,10.2729666632322
"mlb",1945,16,16,8.24420069284102,5.21335200746966,10.3732401111588
"mlb",1946,16,16,7.29273961471567,4.24110305279136,10.5279910173197
"mlb",1947,16,16,6.15269681937874,2.27597402597403,11.1280599330002
"mlb",1948,16,16,5.45706580731404,2.40259740259741,11.2882775398704
"mlb",1949,16,16,5.17524306239385,2,11.5977603211999
"mlb",1950,16,16,5.76301791062516,2.46103896103896,11.7608524269704
"mlb",1951,16,16,2.20377856721201,2.00974025974026,1.13321123384288
"mlb",1952,16,16,2.18471550143942,1.95557851239669,1.3075736905865
"mlb",1953,16,16,2.6107764042256,2.24025974025974,1.3106397875209
"mlb",1954,16,16,2.80167337251705,2.65185468126645,1.83300883318715
"mlb",1955,16,16,2.54285812120992,1.67152976893237,2.17766400009093
"mlb",1956,16,16,2.61037242031799,2,1.86419043662036
"mlb",1957,16,16,2.49170461365914,1.95320176000684,2.02916412869691
"mlb",1958,16,16,2.94093437443398,2.42089728453365,2.24619003166238
"mlb",1959,16,16,3.18852222362774,2.63041828301568,2.5614223948827
"mlb",1960,16,16,3.23786262094369,2.01846854444257,2.99558626919196
"mlb",1961,18,18,2.556024675743,1.51374599426547,2.25799995116948
"mlb",1962,20,20,2.72472714020794,2,2.32270002647488
"mlb",1963,20,20,2.96682458587937,2.25974025974026,2.39678966271255
"mlb",1964,20,20,3.4510919607846,2.84594573997866,2.65055636462284
"mlb",1965,20,20,3.02581103077117,1.91152263374486,2.99074895611182
"mlb",1966,20,20,2.94887876856863,2,2.99984046921809
"mlb",1967,20,20,3.23900742344708,2,3.18082149628331
"mlb",1968,20,20,2.9681092488472,2,3.28454092810036
"mlb",1969,24,24,2.55965140115285,1.76638469745466,3.09398385190019
"mlb",1970,24,24,2.86468155883968,2,3.35231250354247
"mlb",1971,24,24,3.53024638635582,2.60177564395671,3.46077616052737
"mlb",1972,24,24,3.48810146268008,2.70987654320987,3.77174584091247
"mlb",1973,24,24,3.58701879198297,2,4.10749147726885
"mlb",1974,24,24,3.42081153046517,2,4.36751837237193
"mlb",1975,24,24,3.90466357202808,2,4.59731353460304
"mlb",1976,24,24,3.48051556416089,1.41529492455418,4.88924129887886
"mlb",1977,26,26,2.14626043393368,1.13768806549435,2.20170675000391
"mlb",1978,26,26,2.6940870266421,2,2.42256246424524
"mlb",1979,26,26,2.84094031907013,2.60794848346289,2.15353013836842
"mlb",1980,26,26,2.63675282475497,1.82919254658385,2.41703576363801
"mlb",1981,26,26,2.76825495873702,2,2.6803947765217
"mlb",1982,26,26,2.69205314845579,1.72477064220184,2.84496735427557
"mlb",1983,26,26,2.27113105296189,1.57098765432099,1.76209291371541
"mlb",1984,26,26,2.82050315939539,2.1574074074074,2.05857638738525
"mlb",1985,26,26,2.85455073736247,1.83018433920764,2.52442536379385
"mlb",1986,26,26,2.44917099781368,1.81989506577678,2.24123778287815
"mlb",1987,26,26,2.80506521586182,2,2.48917389349541
"mlb",1988,26,26,3.14273545570554,2.31481481481481,2.80847504670617
"mlb",1989,26,26,3.48970729997336,2.15327312909617,3.17149508611454
"mlb",1990,26,26,3.69905517969097,2.71902078061498,3.12979464435723
"mlb",1991,26,26,3.73938771789314,2.28720954923822,3.47364598137358
"mlb",1992,26,26,3.60473207699903,2.08859167809785,3.88464584454963
"mlb",1993,28,28,3.67270431661263,2,3.99878556266052
"mlb",1994,28,28,4.36775082503771,3,4.12766866174286
"mlb",1995,28,28,4.5766652734702,3,4.56033921378504
"mlb",1996,28,28,3.7650544660348,2.50777320530407,2.93091159909346
"mlb",1997,28,28,3.33853836619495,2,2.67613026057218
"mlb",1998,30,30,3.55804436656408,2.31085200426764,2.76279834231648
"mlb",1999,30,30,4.01484477592581,3,2.91638972293251
"mlb",2000,30,30,4.18055363852465,3.6620082815735,3.16168249413721
"mlb",2001,30,30,3.97512697346848,2,3.51937872694342
"mlb",2002,30,30,3.52754557600708,2,3.32192168679506
"mlb",2003,30,30,3.02029924300158,1.9320987654321,3.01589401337835
"mlb",2004,30,30,3.4191707591403,2,3.15210595490692
"mlb",2005,30,30,3.81619965269396,3,3.4810924031011
"mlb",2006,30,30,4.16096925082432,3,3.79771828941954
"mlb",2007,30,30,3.86603072519307,2.68427069044353,3.92197901670159
"mlb",2008,30,30,3.87540641844036,2,3.94941510227574
"mlb",2009,30,30,4.22598816237362,3,4.10464602099862
"mlb",2010,30,30,4.50378626225677,3,4.42573777666496
"mlb",2011,30,30,3.98254388567024,2.04012345679012,3.78676698694932
"mlb",2012,30,30,3.74870639070257,2.23380582228319,3.06445788591065
"mlb",2013,30,30,4.24388751146668,3,3.28273307737071
"mlb",2014,30,30,4.2610412538739,3.80555555555555,3.49980706777207
"mlb",2015,30,30,3.66714169587969,3,3.15687816920031
"mlb",2016,30,30,4.0310290701265,3,3.43605135059406
"mlb",2017,30,30,4.63019962681798,3,3.65250651131752
"mlb",2018,30,30,4.37546965679309,3.34948940710258,3.90774624320502
"mlb",2019,30,30,3.83777215133152,3,2.99290309707397
"mlb",2020,30,30,3.07130760624675,2.21296296296297,2.26958235417531
"mlb",2021,30,30,3.82176341282621,3,2.42341132773983
"mlb",2022,30,30,3.97796673549044,3,2.54321874151714
"mlb",2023,30,30,4.41067516408365,4,2.87061346537367
"nba",1950,17,17,1.5890543305967,1,0.990018483682747
"nba",1951,11,11,2.29271579214028,2,1.36264362307554
"nba",1952,10,10,2.75165289256198,2.5,1.930770304526
"nba",1953,10,10,3.59354916512059,3.5,2.12757526588595
"nba",1954,9,9,4.6816235547717,5,2.31728423352892
"nba",1955,8,8,5.54513888888889,6.5,2.94870676448039
"nba",1956,8,8,4.20182291666667,4.18055555555556,2.88934579666441
"nba",1957,8,8,3.45881558641975,2,2.89701989615703
"nba",1958,8,8,3.22154706790123,2.64583333333333,2.19017348453956
"nba",1959,8,8,3.51003086419753,1.51388888888889,3.9104822561143
"nba",1960,8,8,2.63725740740741,1.50180740740741,3.14439586141228
"nba",1961,8,8,2.52333333333333,1.27333333333333,3.44640783775324
"nba",1962,9,9,2.70226851851852,2,3.54196103624152
"nba",1963,9,9,3.33865740740741,3,3.78335823790547
"nba",1964,9,9,3.16944444444444,1.525,4.19698138878144
"nba",1965,9,9,3.46298611111111,2,4.49147781924386
"nba",1966,9,9,4.02229166666667,3,4.75582574487596
"nba",1967,10,10,2.23548677793019,1.36875,1.9796995005254
"nba",1968,12,12,1.64045694680072,1.49960896475496,0.760110236706972
"nba",1969,14,14,1.83697219127147,1.76829268292683,1.04590884390101
"nba",1970,14,14,1.86805304408542,1.18560380725758,1.33505861038935
"nba",1971,17,17,2.40377787519705,2,1.48704224257287
"nba",1972,17,17,2.96513840989279,3,1.85724299892555
"nba",1973,17,17,2.6748669503274,2,2.03694224403135
"nba",1974,17,17,2.9283339748749,2,1.96971867736573
"nba",1975,18,18,3.59070328508163,2.95731707317073,2.18658593732491
"nba",1976,18,18,4.46476964769648,3.47903033908388,2.26683175031465
