"sport","fran_id","year","season.order","lg","coach","coach_id","g","coach_g","coach_dur","weight","change","stint_id","cum_season","coach_tag","g_no_tie","fran_id_fix","season","g_final","fran_id_final","min_yr","max_yr","team"
"nhl",,1940,23,"NHL",,"lepinpi01c",48,48,1,1,TRUE,24,1,"Lépine, Pit",,"MTL","1939-40",48,"MTL",1940,1940,"Montreal Canadiens"
"nhl",,1940,23,"NHL",,"duttore01c",48,48,1,1,FALSE,3,4,"Dutton, Red",,"NYA","1939-40",48,"NYA",1937,1940,"New York Americans"
"nhl",,1940,23,"NHL",,"irvindi01c",48,48,1,1,FALSE,19,8.89583333333333,"Irvin, Dick",,"TOR","1939-40",48,"TOR",1932,1940,"Toronto Maple Leafs"
"cbbm","baylor",1941,35,"SWC","Ralph Wolf (10-12)","ralph-wolf-1",22,22,1,1,FALSE,17,15,,,,,22,"baylor",1927,1941,"Baylor"
"cbbm","brigham-young",1941,39,"MSAC","Edwin Kimball (14-9)","edwin-kimball-1",23,23,1,1,FALSE,6,3,,,,,23,"brigham-young",1939,1941,"Brigham Young"
"cbbm","brown",1941,35,"Ind","Eck Allen (10-10)","eck-allen-1",20,20,1,1,FALSE,5,3,,,,,20,"brown",1939,1941,"Brown"
"cbbm","citadel",1941,29,"Southern","Ben Parker (5-13)","ben-parker-1",18,18,1,1,FALSE,3,1.52941176470588,,,,,18,"citadel",1940,1941,"The Citadel"
"cbbm","colgate",1941,41,"Ind","Paul Bixler (9-6)","paul-bixler-1",15,15,1,1,FALSE,16,2,,,,,15,"colgate",1940,1941,"Colgate"
"cbbm","harvard",1941,30,"Ivy","Wes Fesler (10-9)","wes-fesler-1",19,19,1,1,FALSE,17,8,,,,,19,"harvard",1934,1941,"Harvard"
"cbbm","idaho",1941,36,"PCC","Forrest Twogood (14-15)","forrest-twogood-1",29,29,1,1,FALSE,10,5,,,,,29,"idaho",1937,1941,"Idaho"
"cbbm","la-salle",1941,10,"Ind","Leonard Tanseer (11-8)","leonard-tanseer-1",19,19,1,1,FALSE,14,8,,,,,19,"la-salle",1934,1941,"La Salle"
"cbbm","lehigh",1941,40,"Ind","Paul Calvert (5-12)","paul-calvert-1",17,17,1,1,FALSE,18,4,,,,,17,"lehigh",1938,1941,"Lehigh"
"cbbm","new-mexico",1941,38,"Ind","Benjamin Sacks (5-18)","benjamin-sacks-1",23,23,1,1,TRUE,1,1,,,,,23,"new-mexico",1941,1941,"New Mexico"
"cbbm","sewanee",1941,19,"Ind","Joel Eaves (1-14)","joel-eaves-1",15,15,1,1,FALSE,2,3,,,,,15,"sewanee",1939,1941,"Sewanee Tigers"
"cbbm","siena",1941,3,"Ind","Henry Bunoski (9-9)","henry-bunoski-1",18,18,1,1,FALSE,6,2,,,,,18,"siena",1940,1941,"Siena"
"cbbm","southern-california",1941,35,"PCC","Sam Barry (15-10)","sam-barry-1",25,25,1,1,FALSE,24,12,,,,,25,"southern-california",1930,1941,"Southern California"
"cbbm","st-francis-ny",1941,22,"Ind","Rody Cooney (9-9)","rody-cooney-1",18,18,1,1,FALSE,16,9,,,,,18,"st-francis-ny",1933,1941,"St. Francis (NY) Terriers"
"cbbm","texas-am",1941,29,"SWC","Hub McQuillan (7-13)","hub-mcquillan-1",20,20,1,1,FALSE,9,6,,,,,20,"texas-am",1936,1941,"Texas A&M"
"cbbm","texas-christian",1941,28,"SWC","Mike Brumbelow (5-16)","mike-brumbelow-1",21,21,1,1,FALSE,15,4,,,,,21,"texas-christian",1938,1941,"TCU"
"cbbm","tulsa",1941,28,"MVC","Jack Sterett (12-9)","jack-sterett-1",21,21,1,1,TRUE,17,1,,,,,21,"tulsa",1941,1941,"Tulsa"
"cbbm","utah-state",1941,37,"MSAC","Dick Romney (5-16)","dick-romney-1",21,21,1,1,FALSE,6,22,,,,,21,"utah-state",1920,1941,"Utah State"
"cbbm","valparaiso",1941,24,"Ind","Jake Christiansen (4-12)","jake-christiansen-1",16,16,1,1,FALSE,10,12,,,,,16,"valparaiso",1930,1941,"Valparaiso"
"cbbm","vanderbilt",1941,39,"SEC","Jim Buford (8-9)","jim-buford-1",17,17,1,1,FALSE,13,5,,,,,17,"vanderbilt",1937,1941,"Vanderbilt"
"cbbm","washburn",1941,35,"MVC","Dee Errikson (7-12)","dee-errikson-1",19,19,1,1,FALSE,1,5,,,,,19,"washburn",1937,1941,"Washburn Ichabods"
"cbbm","wichita-state",1941,35,"Ind","Bill Hennigh (9-11)","bill-hennigh-1",20,20,1,1,FALSE,1,6,,,,,20,"wichita-state",1936,1941,"Wichita State"
"cfb","arizona-state",1941,11,"BIAA",,"dixie-howell-1",11,11,1,1,FALSE,8,4,"Howell, Dixie",,,,11,"arizona-state",1938,1941,"Arizona State"
"cfb","arkansas",1941,36,"SWC",,"fred-thomsen-1",10,10,1,1,FALSE,11,13,"Thomsen, Fred",,,,10,"arkansas",1929,1941,"Arkansas"
"cfb","brigham-young",1941,20,"MSAC",,"edwin-kimball-1",9,9,1,1,FALSE,5,5,"Kimball, Edwin",,,,9,"brigham-young",1937,1941,"BYU"
"cfb","centenary-la",1941,12,"Ind",,"jake-hanna-1",10,10,1,1,FALSE,3,2,"Hanna, Jake",,,,10,"centenary-la",1940,1941,"Centenary (LA)"
"cfb","colorado-state",1941,36,"MSAC",,"harry-hughes-1",7,7,1,1,FALSE,6,31,"Hughes, Harry",,,,7,"colorado-state",1919,1941,"Colorado State"
"cfb","cornell",1941,53,"Ind",,,8,,,,TRUE,34,,,,,,8,"cornell",1941,1941,"Cornell"
"cfb","dartmouth",1941,53,"Ind",,,9,,,,TRUE,32,,,,,,9,"dartmouth",1941,1941,"Dartmouth"
"cfb","denver",1941,40,"MSAC",,"cac-hubbard-1",9,9,1,1,FALSE,3,3,"Hubbard, Cac",,,,9,"denver",1939,1941,"Denver"
"cfb","duke",1941,20,"Southern",,"wallace-wade-1",10,10,1,1,FALSE,20,11,"Wade, Wallace",,,,10,"duke",1931,1941,"Duke"
"cfb","fordham",1941,15,"Ind",,"jimmy-crowley-1",9,9,1,1,FALSE,4,9,"Crowley, Jimmy",,,,9,"fordham",1933,1941,"Fordham"
"cfb","furman",1941,24,"Southern",,,9,,,,TRUE,31,,,,,,9,"furman",1941,1941,"Furman"
"cfb","george-washington",1941,11,"Southern",,"bill-reinhard-1",9,9,1,1,FALSE,1,3,"Reinhard, Bill",,,,9,"george-washington",1939,1941,"George Washington"
"cfb","gonzaga",1941,16,"Ind",,"puggy-hunton-1",10,10,1,1,FALSE,4,3,"Hunton, Puggy",,,,10,"gonzaga",1939,1941,"Gonzaga"
"cfb","harvard",1941,65,"Ind",,,8,,,,TRUE,50,,,,,,8,"harvard",1941,1941,"Harvard"
"cfb","holy-cross",1941,14,"Ind",,"joseph-sheeketski-1",10,10,1,1,FALSE,8,3,"Sheeketski, Joseph",,,,10,"holy-cross",1939,1941,"Holy Cross"
"cfb","illinois",1941,50,"Western",,"robert-zuppke-1",8,8,1,1,FALSE,21,29,"Zuppke, Robert",,,,8,"illinois",1919,1941,"Illinois"
"cfb","kansas-state",1941,30,"Big 6",,"hobbs-adams-1",9,9,1,1,FALSE,11,2,"Adams, Hobbs",,,,9,"kansas-state",1940,1941,"Kansas State"
"cfb","loyola-marymount",1941,9,"Ind",,"marty-brill-1",10,10,1,1,FALSE,2,2,"Brill, Marty",,,,10,"loyola-marymount",1940,1941,"Loyola Marymount"
"cfb","maryland",1941,25,"Southern",,"jack-faber-1",9,9,1,1,FALSE,10,2,"Faber, Jack",,,,9,"maryland",1940,1941,"Maryland"
"cfb","minnesota",1941,50,"Western",,"bernie-bierman-1",8,8,1,1,FALSE,2,10,"Bierman, Bernie",,,,8,"minnesota",1932,1941,"Minnesota"
"cfb","montana",1941,20,"PCC",,"doug-fessenden-1",9,9,1,1,FALSE,4,7,"Fessenden, Doug",,,,9,"montana",1935,1941,"Montana"
"cfb","navy",1941,48,"Ind",,"swede-larson-1",9,9,1,1,FALSE,26,3,"Larson, Swede",,,,9,"navy",1939,1941,"Navy"
"cfb","nebraska",1941,42,"Big 6",,"biff-jones-1",9,9,1,1,FALSE,5,5,"Jones, Biff",,,,9,"nebraska",1937,1941,"Nebraska"
"cfb","new-mexico",1941,11,"BIAA",,"ted-shipkey-1",10,10,1,1,FALSE,19,5,"Shipkey, Ted",,,,10,"new-mexico",1937,1941,"New Mexico"
